S#,Country,Region,Daily_Oil_Consumption(Barrels),World_Share,Yearly_Gallons_Per_Capita,Price_Per_Gallon(USD),Price_Per_Liter(USD),Price_Per_Liter(PKR),GDP_Per_Capita(USD),Gallons_GDP_Per_Capita_Can_Buy,xTimes_Yearly_Gallons_Per_Capita_Buy
169,Comoros,Africa,1300,0.00,25.0,5.15,1.36,287.64,1403,272,11
170,Vanuatu,Oceania,1100,0.00,60.6,4.92,1.30,274.95,2783,566,9
171,Saint Helena,Africa,70,0.00,180.2,5.53,1.46,309.21,7800,1410,8
172,Kiribati,Oceania,400,0.00,54.5,4.09,1.08,228.42,1671,409,7
173,Grenada,North America,2000,0.00,278.1,4.62,1.22,258.24,9262,2005,7
174,Gambia,Africa,3800,0.00,27.1,5.04,1.33,281.51,787,156,6
175,Central African Rep.,Africa,2800,0.00,9.5,9.06,2.39,506.12,477,53,6
176,Dominica,North America,1301,0.00,279.7,4.78,1.26,267.34,7268,1521,5
177,Belize,North America,4001,0.00,166.5,6.68,1.76,373.09,4436,664,4
178,Niue,Oceania,51,0.00,484.4,11.43,3.02,638.73,15586,1364,3
179,Saint Pierre & Miquelon,North America,660,0.00,1705.1,8.27,2.19,462.13,34900,4220,2
180,Montserrat,North America,400,0.00,1231.1,4.57,1.21,255.07,12589,2755,2
181,Tonga,Oceania,899,0.00,136.3,16.20,4.28,905.22,4903,303,2
